Start station,End station,Date,Total duration (m),Total duration (m)_scaled,Same Start-End,Bike Model Encoded,Weather Description,temperature_2m_scaled,apparent_temperature_scaled,wind_speed_10m_scaled,relative_humidity_2m_scaled,Day_of_Month,Day_of_Week,Hour_of_Day,is_Weekend,Time_of_Day,is_Rainy
"Falcon Road, Clapham Junction","Tallis Street, Temple",2023-08-23 07:00:00,37.0,0.813953488372093,False,0,Clear Sky,0.37710437710437716,0.512165357760713,0.07313081586704362,0.8324723070219505,23,3,7,0,Morning,0
"Erin Close, Walham Green","Ingrave Street, Clapham Junction",2023-08-23 07:00:00,15.0,0.3023255813953488,False,0,Clear Sky,0.37710437710437716,0.512165357760713,0.07313081586704362,0.8324723070219505,23,3,7,0,Morning,0
"Queen's Gate, Kensington Gardens","Palace Gate, Kensington Gardens",2023-08-06 12:00:00,41.0,0.9069767441860466,False,0,Drizzle,0.5016835016835017,0.4119829104893887,0.6169320596224853,0.28683258246153576,6,7,12,1,Afternoon,1
"Bridge Avenue, Hammersmith","Humbolt Road, Fulham",2023-08-13 01:00:00,10.0,0.18604651162790697,False,0,Partly Cloudy,0.36363636363636376,0.3853934128897724,0.5220604658618068,0.8270301410288695,13,7,1,1,Night,0
"Lansdowne Road, Ladbroke Grove","Westfield Ariel Way, White City",2023-08-09 15:00:00,18.0,0.37209302325581395,False,0,Overcast,0.8821548821548824,0.8452799618020472,0.3164915246038127,0.13756770838191457,9,3,15,0,Afternoon,0
"Pitfield Street North,Hoxton","Moorfields, Moorgate",2023-08-20 12:00:00,9.0,0.1627906976744186,False,0,Partly Cloudy,0.8181818855218854,0.8347018104426593,0.3938183729517846,0.2860408024756339,20,7,12,1,Afternoon,0
"Canton Street, Poplar","Canton Street, Poplar",2023-08-15 21:00:00,32.0,0.6976744186046512,True,0,Partly Cloudy,0.48484848484848486,0.5444177357982478,0.30578456919064784,0.6732038040617699,15,2,21,0,Night,0
"New Inn Yard, Shoreditch","Liverpool Road (N1 Centre), Angel",2023-08-15 21:00:00,20.0,0.41860465116279066,False,0,Partly Cloudy,0.48484848484848486,0.5444177357982478,0.30578456919064784,0.6732038040617699,15,2,21,0,Night,0
"Frith Street, Soho","Broadcasting House, Marylebone",2023-08-14 20:00:00,6.0,0.09302325581395349,False,0,Overcast,0.49158249158249157,0.523167352517546,0.504543061410752,0.7644367928513273,14,1,20,0,Evening,0
"Green Park Station, Mayfair","Upper Grosvenor Street, Mayfair",2023-08-05 12:00:00,6.0,0.09302325581395349,False,0,Moderate Rain,0.37710437710437716,0.3628337087881314,0.5959390989640156,0.7269263381663625,5,6,12,1,Afternoon,1
"City Road, Angel","Good's Way, King's Cross",2023-08-15 11:00:00,11.0,0.20930232558139536,False,0,Overcast,0.6835017508417509,0.6609025963519597,0.41467922476732844,0.34102629361596837,15,2,11,0,Morning,0
"De Vere Gardens, Kensington","Phillimore Gardens, Kensington",2023-08-28 17:00:00,11.0,0.20930232558139536,False,0,Cloudy,0.6430976430976432,0.5395077827197261,0.48321996283373675,0.10295353567118515,28,1,17,0,Evening,0
"Panton Street, West End","Crawford Street, Marylebone",2023-08-19 01:00:00,16.0,0.32558139534883723,False,0,Overcast,0.7104377104377104,0.7985930911037014,0.5467261731235059,0.8640150520813205,19,6,1,1,Night,0
"Royal Avenue 2, Chelsea","Sopwith Way, Battersea Park",2023-08-11 16:00:00,26.0,0.5581395348837209,False,0,Overcast,0.861952861952862,0.8373059694484264,0.6576443953343369,0.45592891125143964,11,5,16,0,Afternoon,0
