date,temperature_2m,relative_humidity_2m,apparent_temperature,weather_code,wind_speed_10m
2023-08-03 17:00:00+00:00,18.956501,58.963577,17.521082,11.457958,313.72705
2023-08-03 18:00:00+00:00,19.1065,59.392853,17.932173,10.182337,315.0001
2023-08-03 19:00:00+00:00,16.206501,80.02324,15.468777,11.019764,321.63248
2023-08-03 20:00:00+00:00,15.3065,83.66121,15.144232,6.6185193,292.3802
2023-08-03 21:00:00+00:00,15.3065,83.66121,14.70071,9.659814,296.56497
2023-08-03 22:00:00+00:00,14.9565,84.17187,14.133213,10.587918,305.31128
2023-08-03 23:00:00+00:00,14.5065,86.36525,13.650141,10.703569,312.27362
2023-08-04 00:00:00+00:00,14.6565,88.09604,14.257183,8.587338,303.02386
2023-08-04 01:00:00+00:00,13.9565,90.67798,13.385117,9.19939,300.57913
2023-08-04 02:00:00+00:00,13.606501,90.95237,12.904724,9.422101,313.4519
2023-08-04 03:00:00+00:00,13.3065,91.23232,12.524414,9.422101,316.5481
2023-08-04 04:00:00+00:00,12.8065,92.719025,11.933296,9.504272,307.30402
2023-08-04 05:00:00+00:00,12.8065,93.95067,11.868271,10.383987,303.6901
2023-08-04 06:00:00+00:00,14.3065,88.936806,13.012901,14.264361,317.0454
2023-08-04 07:00:00+00:00,15.7065,82.890396,14.131964,16.87398,326.3099
2023-08-04 08:00:00+00:00,16.7565,76.76799,15.407326,14.982228,324.78232
2023-08-04 09:00:00+00:00,17.6065,72.5112,16.482088,13.324863,321.5819
2023-08-04 10:00:00+00:00,18.6565,69.00448,17.775078,12.229406,312.614
2023-08-04 11:00:00+00:00,19.4065,66.28301,18.405891,13.276144,310.60123
2023-08-04 12:00:00+00:00,18.6065,66.769295,17.798136,10.829959,285.4222
2023-08-04 13:00:00+00:00,18.5065,68.30011,17.415445,12.979984,289.44012
2023-08-04 14:00:00+00:00,18.9065,65.96081,17.38419,15.596767,288.85324
2023-08-04 15:00:00+00:00,19.1065,63.035454,17.50371,15.03835,281.0409
2023-08-04 16:00:00+00:00,19.206501,61.82298,17.525208,15.141414,288.00424
2023-08-04 17:00:00+00:00,18.5565,64.59656,17.001352,14.386494,301.7014
2023-08-04 18:00:00+00:00,18.1065,63.018375,16.3341,14.182355,293.9625
2023-08-04 19:00:00+00:00,17.456501,66.52813,16.112925,11.659777,278.88058
2023-08-04 20:00:00+00:00,16.9065,68.88355,15.897474,9.3669195,272.20255
2023-08-04 21:00:00+00:00,16.5065,71.5976,15.8632965,7.2805495,261.46933
